Date,Open,High,Low,Close,Volume
17-Oct-13,121.34,122.72,121.28,122.59,304867
16-Oct-13,121.83,122.46,121.36,122.37,249239
15-Oct-13,121.77,122.35,121.53,121.81,368961
14-Oct-13,123.40,124.62,123.36,124.40,112972
11-Oct-13,123.39,124.25,123.16,124.23,133685
10-Oct-13,122.26,123.55,121.90,123.46,306265
9-Oct-13,120.13,120.43,119.72,119.93,726007
8-Oct-13,121.94,122.20,120.93,120.99,190870
7-Oct-13,120.81,122.14,120.79,121.56,247889
4-Oct-13,122.61,123.63,122.41,123.05,160431
3-Oct-13,123.70,123.79,122.16,122.86,199560
2-Oct-13,125.60,125.68,124.02,124.78,251311
1-Oct-13,123.19,124.38,123.06,124.09,321948
30-Sep-13,120.24,120.86,120.12,120.51,330086
27-Sep-13,121.88,122.12,121.55,121.78,222787
26-Sep-13,121.74,122.27,121.50,121.93,118569
25-Sep-13,121.45,122.19,121.23,121.44,234623
24-Sep-13,120.82,121.61,120.56,120.99,253774
23-Sep-13,121.38,121.51,120.61,120.86,765970
20-Sep-13,122.37,122.75,121.58,121.66,348745
19-Sep-13,122.52,122.64,121.89,122.30,311282
18-Sep-13,119.45,122.45,119.14,122.41,425863
17-Sep-13,118.07,118.48,118.01,118.20,234059
16-Sep-13,117.16,117.61,116.89,117.00,157674
13-Sep-13,115.87,116.00,114.84,115.94,196266
12-Sep-13,115.60,116.46,115.50,115.96,254365
11-Sep-13,116.74,117.32,116.56,117.24,323452
10-Sep-13,115.74,116.95,115.54,116.85,332874
9-Sep-13,114.84,115.39,114.59,115.14,370572
6-Sep-13,113.53,114.99,113.05,114.22,679513
5-Sep-13,110.29,111.30,110.00,111.00,348548
4-Sep-13,107.58,109.15,107.38,109.09,513612
3-Sep-13,107.60,107.83,106.77,107.50,384713
30-Aug-13,106.43,106.66,105.68,106.16,460625
29-Aug-13,107.02,107.99,106.79,107.71,362344
28-Aug-13,107.91,108.67,107.53,108.61,364039
27-Aug-13,109.48,110.00,108.64,108.76,314898
26-Aug-13,110.70,111.15,110.55,110.73,147069
23-Aug-13,110.50,111.19,109.99,111.09,440949
22-Aug-13,109.90,111.09,109.86,111.03,154482
21-Aug-13,109.35,110.00,108.90,109.06,192143
20-Aug-13,110.07,110.62,109.74,110.47,164550
19-Aug-13,110.83,111.05,110.20,110.28,204590
16-Aug-13,111.06,111.84,110.98,111.54,302388
15-Aug-13,110.23,111.12,109.22,110.97,207336
14-Aug-13,111.51,111.99,111.19,111.92,181805
13-Aug-13,111.05,111.50,110.42,111.45,338954
12-Aug-13,110.39,111.58,110.35,111.32,159515
9-Aug-13,111.78,112.35,111.00,111.68,175469
8-Aug-13,111.57,111.88,110.76,111.80,239379
7-Aug-13,110.81,111.36,110.59,111.26,365018
6-Aug-13,112.53,112.54,110.72,111.39,569286
5-Aug-13,110.89,111.44,110.66,111.36,220262
2-Aug-13,111.19,111.44,110.76,111.11,226697
1-Aug-13,111.07,111.82,110.67,111.52,753835
31-Jul-13,106.22,110.84,106.17,110.46,983778
